crdc_id,leaid,ncessch,report_dis,discip_dis,report_race,discip_race,report_sex,discip_sex,counselors_fte,psych_fte,social_fte,nurses_fte,security_fte,law_fte
040039402323,0400394,040039402323,0,0,0,0,0,0,0,0,0,0,0,0
040039502305,0400395,040039502305,0,0,0,0,0,0,0,0,0,0,0,0
040039502536,0400395,040039502536,0,0,0,0,0,0,0,0,0,0,0,0
040039502826,0400395,040039502826,0,0,0,0,0,0,0,0,0,0,0,0
040039503335,0400395,040039503335,0,0,0,0,0,0,0,0,0,0,0,0
040039602306,0400396,040039602306,0,0,0,0,0,0,0,0,0,0,0,0
040039703119,0400397,040039703119,0,0,0,0,0,0,0,0,0,0,0,0
040039902325,0400399,040039902325,0,0,0,0,0,0,0,0,0,0,0,0
040040101866,0400401,040040101866,0,0,0,0,0,0,0,0,0,1,0,0
040040201860,0400402,040040201860,0,0,0,0,0,0,0,0,0,0,0,0
040040203429,0400402,040040203429,0,0,0,0,0,0,0,0,0,0,0,0
040040301989,0400403,040040301989,0,0,0,0,0,0,1,0,0,1,0,0
040040401993,0400404,040040401993,0,0,0,0,0,0,1,0,0,1,0,0
040040502053,0400405,040040502053,0,0,0,0,0,0,1,0,0,0,0,0
040040602036,0400406,040040602036,0,0,0,0,0,0,0,0,0,1,0,0
040040702404,0400407,040040702404,0,0,0,0,0,0,1,0,0,0,0,0
040040702558,0400407,040040702558,0,0,0,0,0,0,0,0,0,0,0,0
040040703448,0400407,040040703448,0,0,0,0,0,0,0,0,0,0,0,0
040040902406,0400409,040040902406,0,0,0,0,0,0,1,NA,0,0,0,0
040041302411,0400413,040041302411,0,0,0,0,1,1,0,0,0,1,1,0
040041302986,0400413,040041302986,0,0,0,0,1,1,0,0,0,0,0,0
040041402412,0400414,040041402412,0,0,0,0,0,0,1,0,0,0,0,0
040041502414,0400415,040041502414,0,0,0,0,0,0,0,0,0,0,0,0
040041701588,0400417,040041701588,0,0,0,0,0,0,0,0,0,0,0,0
040041902897,0400419,040041902897,0,0,0,0,0,0,0,1,1,1,1,0
040042002522,0400420,040042002522,0,0,0,0,0,0,1,0,1,0,0,1
040042003277,0400420,040042003277,0,0,0,0,0,0,1,0,0,0,0,0
040042302525,0400423,040042302525,0,0,0,0,0,0,0,0,0,0,0,0
040042402526,0400424,040042402526,0,0,0,0,0,0,0,0,0,0,0,0
040042502527,0400425,040042502527,0,0,0,0,1,1,0,0,0,0,0,0
040042602528,0400426,040042602528,0,0,0,0,0,0,0,0,0,0,0,0
040042703160,0400427,040042703160,0,0,0,0,0,0,1,0,0,0,0,0
040042901994,0400429,040042901994,0,0,0,0,0,0,0,0,0,0,1,0
040043202200,0400432,040043202200,0,0,0,0,1,1,1,0,1,0,0,0
040043203324,0400432,040043203324,0,0,0,0,0,0,1,0,1,0,0,0
040043802653,0400438,040043802653,0,0,0,0,0,0,0,0,0,0,0,0
040043902644,0400439,040043902644,0,0,0,0,0,0,0,0,0,0,0,0
040044002681,0400440,040044002681,0,0,1,1,1,1,1,0,0,0,0,0
040044102658,0400441,040044102658,0,0,0,0,0,0,0,0,0,0,0,0
040044202683,0400442,040044202683,0,0,0,0,1,1,0,0,0,0,0,0
040044402321,0400444,040044402321,0,0,0,0,0,0,1,1,0,0,0,0
040044502676,0400445,040044502676,0,0,0,0,0,0,0,0,0,0,0,0
040044602659,0400446,040044602659,0,0,0,0,0,0,0,0,0,0,0,0
040044702671,0400447,040044702671,0,0,0,0,1,1,0,0,0,0,0,0
040044802638,0400448,040044802638,0,0,0,0,0,0,0,0,0,0,0,0
040045000001,0400450,040045000001,1,1,0,0,1,1,1,1,1,1,1,1
